1,-0.356503791,-17,0.25,0.73
1,-0.395420621,-17,0.25,0.73
1,-0.426510154,-17,0.25,0.73
1,-0.45036431,-17.1,0.25,0.73
1,-0.473627273,-17.1,0.25,0.73
1,-0.483043059,-17.1,0.25,0.73
1,-0.479712706,-17.1,0.25,0.73
1,-0.464574995,-17.1,0.25,0.73
1,-0.438460748,-17,0.25,0.73
1,-0.402129478,-17,0.25,0.73
1,-0.330035208,-17,0.25,0.73
1,-0.23889948,-16.9,0.25,0.73
1,-0.13107107,-16.9,0.25,0.73
1,-0.008991897,-16.8,0.25,0.73
1,0.124740397,-16.7,0.25,0.73
1,0.267296426,-16.6,0.25,0.73
1,0.415482347,-16.5,0.25,0.73
1,0.565527571,-16.4,0.25,0.73
1,0.712771513,-16.3,0.25,0.73
1,0.851202422,-16.2,0.25,0.73
1,0.972784417,-16.1,0.25,0.73
1,1.066564492,-16,0.25,0.73
1,1.117850219,-16,0.25,0.73
1,1.108616398,-16,0.25,0.73
1,1.075582356,-16,0.25,0.73
1,1.021270986,-16.1,0.25,0.73
1,0.944939403,-16.1,0.25,0.73
1,0.846867681,-16.2,0.25,0.73
1,0.728283875,-16.3,0.25,0.73
1,0.591092265,-16.4,0.25,0.73
1,0.437526432,-16.5,0.25,0.73
1,0.269848256,-16.6,0.25,0.73
1,0.090151569,-16.7,0.25,0.73
1,-0.197998673,-16.9,0.25,0.73
1,-0.504130736,-17.1,0.25,0.73
1,-0.824492339,-17.3,0.25,0.73
1,-1.156307784,-17.5,0.25,0.73
1,-1.497518753,-17.7,0.25,0.73
1,-1.84658224,-17.9,0.25,0.73
1,-2.202323897,-18.1,0.25,0.73
1,-2.746523111,-18.4,0.25,0.73
1,-3.301437186,-18.6,0.25,0.73
1,-3.865386045,-18.9,0.25,0.73
1,-4.437099307,-19.2,0.25,0.73
1,-5.307102029,-19.6,0.25,0.73
1,-6.189757138,-19.9,0.25,0.73
1,-7.083041181,-20.3,0.25,0.73
1,-7.985318007,-20.6,0.25,0.73
